               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11218,            0.014359,            0.043446,           0.0080234,             0.20091,           0.0086828,           0.0020977,            0.092591,              0.0115,            0.038401,             0.00037,             0.00037,             0.09667
                   1,            0.087816,            0.018832,            0.036309,             0.23739,             0.29933,             0.23008,            0.083829,            0.071974,            0.013036,            0.030576,          0.00074983,          0.00074983,             0.09325
                   2,            0.069646,            0.021383,            0.028315,             0.64683,             0.35346,             0.41269,             0.18368,            0.060714,            0.012295,            0.020629,            0.001129,            0.001129,            0.089829
                   3,            0.061042,            0.019637,             0.01831,             0.68794,             0.53885,             0.53772,             0.22488,            0.053408,            0.011089,            0.012067,            0.001507,            0.001507,            0.086407
                   4,            0.060788,            0.017026,             0.01272,             0.39112,             0.71364,             0.49346,             0.18259,            0.054785,           0.0099116,            0.008218,           0.0018833,           0.0018833,            0.082983
                   5,             0.05979,            0.016414,            0.009618,             0.49208,             0.65988,             0.53597,             0.22822,            0.053658,           0.0089375,            0.006451,           0.0022574,           0.0022574,            0.079557
                   6,            0.056388,            0.015116,            0.007539,             0.43115,             0.62917,             0.55923,             0.24445,              0.0512,           0.0083908,           0.0055846,           0.0026289,           0.0026289,            0.076129
                   7,            0.055209,            0.014621,           0.0067674,             0.60001,              0.6959,             0.65582,             0.26429,            0.047372,           0.0076443,           0.0062636,           0.0029972,           0.0029972,            0.072697
                   8,            0.053522,            0.014199,           0.0063074,             0.62801,             0.78113,             0.74093,              0.3514,            0.045616,           0.0075655,           0.0083071,           0.0033618,           0.0033618,            0.069262
                   9,             0.05083,            0.013358,           0.0058774,             0.68784,             0.82259,             0.74035,             0.34634,            0.042153,           0.0072445,           0.0060076,           0.0037223,           0.0037223,            0.065822
                  10,            0.049793,            0.012778,           0.0056212,               0.595,              0.8407,             0.73555,             0.40025,            0.043396,           0.0065496,           0.0054877,           0.0040782,           0.0040782,            0.062378
                  11,             0.04719,             0.01204,           0.0045976,             0.68507,             0.82626,             0.80066,             0.43045,            0.038865,           0.0063002,           0.0060156,            0.004429,            0.004429,            0.058929
                  12,            0.045478,            0.011878,           0.0041571,             0.69308,             0.80624,             0.74595,             0.42143,            0.040122,           0.0060709,           0.0066958,           0.0047742,           0.0047742,            0.055474
